species,winter,breeding,natura,treatment
Anser erythropus,TRUE,FALSE,FALSE,50
Lagopus lagopus,TRUE,FALSE,FALSE,10
Tetrastes bonasia,TRUE,FALSE,FALSE,10
Tetrao urogallus,TRUE,FALSE,FALSE,10
Tetrao tetrix,TRUE,FALSE,FALSE,10
Gavia stellata,TRUE,FALSE,FALSE,10
Tachybaptus ruficollis,TRUE,FALSE,FALSE,10
Botaurus stellaris,TRUE,FALSE,FALSE,5
Ardea cinerea,TRUE,FALSE,FALSE,5
Ardea alba,TRUE,FALSE,FALSE,5
Aquila chrysaetos,TRUE,FALSE,FALSE,50
Falco rusticolus,TRUE,FALSE,FALSE,-1
Rallus aquaticus,TRUE,FALSE,FALSE,5
Gallinula chloropus,TRUE,FALSE,FALSE,5
Gallinago gallinago,TRUE,FALSE,FALSE,5
Lymnocryptes minimus,TRUE,FALSE,FALSE,5
Scolopax rusticola,TRUE,FALSE,FALSE,5
Bubo scandiacus,TRUE,FALSE,FALSE,-1
Alcedo atthis,TRUE,FALSE,FALSE,50
Perisoreus infaustus,TRUE,FALSE,FALSE,100
Anser erythropus,FALSE,FALSE,FALSE,50
Lagopus lagopus,FALSE,FALSE,FALSE,10
Tetrastes bonasia,FALSE,FALSE,FALSE,10
Tetrao urogallus,FALSE,FALSE,FALSE,10
Tetrao tetrix,FALSE,FALSE,FALSE,10
Gavia stellata,FALSE,FALSE,FALSE,10
Tachybaptus ruficollis,FALSE,FALSE,FALSE,10
Aquila chrysaetos,FALSE,FALSE,FALSE,50
Falco rusticolus,FALSE,FALSE,FALSE,-1
Bubo scandiacus,FALSE,FALSE,FALSE,-1
Alcedo atthis,FALSE,FALSE,FALSE,50
Perisoreus infaustus,FALSE,FALSE,FALSE,100
Anser fabalis,TRUE,TRUE,FALSE,10
Anser anser ,TRUE,TRUE,FALSE,10
Anser erythropus,TRUE,TRUE,FALSE,-1
Aythya marila,TRUE,TRUE,FALSE,10
Mergellus albellus,TRUE,TRUE,FALSE,10
Lagopus lagopus,TRUE,TRUE,FALSE,10
Tetrastes bonasia,TRUE,TRUE,FALSE,10
Tetrao urogallus,TRUE,TRUE,FALSE,10
Tetrao tetrix,TRUE,TRUE,FALSE,10
Gavia stellata,TRUE,TRUE,FALSE,10
Tachybaptus ruficollis,TRUE,TRUE,FALSE,10
Botaurus stellaris,TRUE,TRUE,FALSE,5
Ardea cinerea,TRUE,TRUE,FALSE,5
Ardea alba,TRUE,TRUE,FALSE,5
Pernis apivorus,TRUE,TRUE,FALSE,10
Milvus migrans,TRUE,TRUE,FALSE,10
Haliaeetus albicilla,TRUE,TRUE,FALSE,50
Circus aeruginosus,TRUE,TRUE,FALSE,5
Circus cyaneus,TRUE,TRUE,FALSE,10
Circus macrourus,TRUE,TRUE,FALSE,10
Circus pygargus,TRUE,TRUE,FALSE,10
Accipiter gentilis,TRUE,TRUE,FALSE,10
Buteo buteo,TRUE,TRUE,FALSE,10
Buteo lagopus,TRUE,TRUE,FALSE,10
Clanga clanga ,TRUE,TRUE,FALSE,50
Aquila chrysaetos,TRUE,TRUE,FALSE,100
Falco rusticolus,TRUE,TRUE,FALSE,-1
Falco peregrinus,TRUE,TRUE,FALSE,100
Rallus aquaticus,TRUE,TRUE,FALSE,5
Gallinula chloropus,TRUE,TRUE,FALSE,5
Calidris temminckii,TRUE,TRUE,FALSE,25
Calidris maritima,TRUE,TRUE,FALSE,10
Calidris minuta,TRUE,TRUE,FALSE,10
Calidris alpina,TRUE,TRUE,FALSE,25
Gallinago media,TRUE,TRUE,FALSE,10
Gallinago gallinago,TRUE,TRUE,FALSE,5
Lymnocryptes minimus,TRUE,TRUE,FALSE,5
Scolopax rusticola,TRUE,TRUE,FALSE,5
Limosa limosa,TRUE,TRUE,FALSE,10
Tringa stagnatilis,TRUE,TRUE,FALSE,10
Xenus cinereus,TRUE,TRUE,FALSE,50
Hydroprogne caspia,TRUE,TRUE,FALSE,10
Sternula albifrons,TRUE,TRUE,FALSE,10
Chlidonias niger,TRUE,TRUE,FALSE,10
Streptopelia turtur,TRUE,TRUE,FALSE,10
Bubo bubo,TRUE,TRUE,FALSE,10
Bubo scandiacus,TRUE,TRUE,FALSE,-1
Alcedo atthis,TRUE,TRUE,FALSE,50
Dendrocopos leucotos,TRUE,TRUE,FALSE,5
Eremophila alpestris,TRUE,TRUE,FALSE,10
Anthus campestris,TRUE,TRUE,FALSE,10
Motacilla citreola,TRUE,TRUE,FALSE,10
Motacilla cinerea,TRUE,TRUE,FALSE,10
Cinclus cinclus,TRUE,TRUE,FALSE,10
Iduna caligata,TRUE,TRUE,FALSE,5
Sylvia nisoria,TRUE,TRUE,FALSE,10
Remiz pendulinus,TRUE,TRUE,FALSE,10
Perisoreus infaustus,TRUE,TRUE,FALSE,100
Uria aalge,TRUE,TRUE,FALSE,25
Anser fabalis,TRUE,FALSE,TRUE,10
Anser anser ,TRUE,FALSE,TRUE,10
Anser erythropus,TRUE,FALSE,TRUE,-1
Aythya marila,TRUE,FALSE,TRUE,10
Mergellus albellus,TRUE,FALSE,TRUE,10
Lagopus lagopus,TRUE,FALSE,TRUE,10
Tetrastes bonasia,TRUE,FALSE,TRUE,10
